ra,ano_pesquisa,fase,turma,genero,idade,ano_ingresso,instituicao_ensino,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,indicado_bolsa,atingiu_pv,fase_ideal,defasagem,rec_psicologia,cg,cf,ct,n_avaliacoes,destaque_ieg,destaque_ida,destaque_ipv,fase_norm,fase_ord,pedra_ord
RA-546,2022,1,G,Feminino,11.0,2021,Escola Pública,Ágata,6.77,9.0,7.9,5.0,,5.6,7.917,5.0,3.3,7.8,,False,False,Fase 2 (5º e 6º ano),-1,Não indicado,564.0,138.0,5.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,2.0
RA-547,2022,1,G,Feminino,11.0,2019,Escola Pública,Ametista,7.745,9.5,9.7,5.0,,7.6,8.833,5.0,7.3,7.8,,False,True,Fase 2 (5º e 6º ano),-1,Não indicado,218.0,56.0,1.0,2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-548,2022,1,G,Masculino,12.0,2019,Escola Pública,Ametista,7.292,8.0,9.1,6.9,,7.2,7.583,5.0,5.7,8.7,,False,False,Fase 3 (7º e 8º ano),-2,Sem limitações,396.0,104.0,2.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-549,2022,1,G,Masculino,10.0,2021,Escola Pública,Ágata,6.301,10.0,7.9,6.9,,4.2,6.167,5.0,2.2,6.2,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,688.0,166.0,9.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-550,2022,1,G,Feminino,12.0,2022,Escola Pública,Ágata,6.026,9.0,9.0,6.9,,1.9,6.25,5.0,2.0,1.8,,False,False,Fase 3 (7º e 8º ano),-2,Sem limitações,724.0,172.0,10.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-551,2022,1,G,Feminino,12.0,2018,Escola Pública,Ágata,6.853,8.5,7.3,6.9,,6.6,7.333,5.0,5.0,8.2,,False,False,Fase 3 (7º e 8º ano),-2,Sem limitações,539.0,136.0,4.0,2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-552,2022,1,G,Masculino,11.0,2022,Escola Pública,Ágata,6.625,9.5,8.8,5.0,,5.5,7.167,5.0,6.0,5.0,,False,False,Fase 2 (5º e 6º ano),-1,Não indicado,617.0,149.0,7.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-553,2022,1,G,Feminino,11.0,2019,Escola Pública,Ágata,6.39,9.5,6.9,6.9,,3.3,8.167,5.0,1.0,5.7,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,663.0,160.0,8.0,2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,2.0
RA-554,2022,1,G,Masculino,12.0,2017,Escola Pública,Quartzo,5.588,7.9,6.0,6.9,,4.0,5.75,5.0,1.7,6.3,,False,False,Fase 3 (7º e 8º ano),-2,Sem limitações,776.0,180.0,12.0,2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,1.0
RA-555,2022,1,G,Masculino,12.0,2019,Escola Pública,Quartzo,5.949,9.5,8.1,5.0,,4.4,5.167,5.0,1.8,7.0,,False,False,Fase 3 (7º e 8º ano),-2,Não indicado,732.0,174.0,11.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,1.0
RA-556,2022,1,G,Feminino,11.0,2018,Escola Pública,Ametista,7.181,9.0,8.8,5.0,,6.4,8.25,5.0,4.8,8.0,,False,False,Fase 2 (5º e 6º ano),-1,Não indicado,436.0,111.0,3.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-557,2022,1,H,Masculino,10.0,2019,Escola Pública,Topázio,8.334,10.0,8.4,7.5,,9.4,9.333,5.0,10.0,8.8,,True,True,Fase 2 (5º e 6º ano),-1,Sem limitações,57.0,10.0,1.0,2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,4.0
RA-558,2022,1,H,Masculino,14.0,2022,Escola Pública,Quartzo,5.539,9.0,8.5,5.0,,4.3,4.5,2.5,0.5,8.0,,False,False,Fase 4 (9º ano),-3,Não indicado,786.0,181.0,8.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,1.0
RA-559,2022,1,H,Masculino,11.0,2021,Escola Pública,Ametista,7.634,9.5,9.2,7.5,,7.1,8.083,5.0,7.2,7.0,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,260.0,67.0,6.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-560,2022,1,H,Masculino,11.0,2020,Escola Pública,Quartzo,4.949,6.9,7.2,5.0,,3.8,3.75,5.0,3.2,4.3,,False,False,Fase 2 (5º e 6º ano),-1,Não indicado,826.0,189.0,11.0,2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,1.0
RA-561,2022,1,H,Masculino,11.0,2022,Escola Pública,Ametista,7.856,9.0,9.0,7.5,,7.4,8.833,5.0,9.5,5.3,,True,True,Fase 2 (5º e 6º ano),-1,Sem limitações,185.0,43.0,3.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-562,2022,1,H,Feminino,11.0,2021,Escola Pública,Ametista,7.855,8.0,9.0,7.5,,8.0,8.75,5.0,8.3,7.7,,False,True,Fase 2 (5º e 6º ano),-1,Sem limitações,186.0,44.0,4.0,2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-563,2022,1,H,Feminino,11.0,2020,Escola Pública,Topázio,8.22,10.0,9.2,7.5,,8.5,8.833,5.0,9.0,8.0,,True,True,Fase 2 (5º e 6º ano),-1,Sem limitações,81.0,18.0,2.0,2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,4.0
RA-564,2022,1,H,Masculino,13.0,2019,Escola Pública,Quartzo,4.972,9.5,3.8,5.0,,2.3,6.833,5.0,2.5,2.0,,False,False,Fase 3 (7º e 8º ano),-2,Não indicado,822.0,188.0,10.0,2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,1.0
RA-565,2022,1,H,Masculino,13.0,2022,Escola Pública,Quartzo,5.233,9.0,4.1,7.5,,2.9,5.917,5.0,4.0,1.8,,False,False,Fase 3 (7º e 8º ano),-2,Sem limitações,809.0,186.0,9.0,2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,1.0
RA-566,2022,1,H,Feminino,12.0,2022,Escola Pública,Ametista,7.729,9.5,8.4,7.5,,8.5,7.917,5.0,9.5,7.5,,False,False,Fase 3 (7º e 8º ano),-2,Sem limitações,226.0,58.0,5.0,2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-567,2022,1,H,Masculino,11.0,2019,Escola Pública,Ágata,6.281,9.5,6.0,7.5,,4.8,6.833,5.0,4.3,5.2,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,691.0,167.0,7.0,2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-568,2022,1,J,Masculino,14.0,2018,Escola Pública,Ametista,7.306,8.0,8.6,6.9,,8.3,7.944,2.5,8.0,8.5,,False,False,Fase 4 (9º ano),-3,Não atendido,385.0,100.0,8.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-569,2022,1,J,Feminino,12.0,2020,Escola Pública,Ametista,7.074,9.5,8.7,5.0,,6.8,7.333,5.0,6.3,7.3,,False,False,Fase 3 (7º e 8º ano),-2,Requer avaliação,464.0,118.0,9.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-570,2022,1,J,Feminino,10.0,2019,Escola Pública,Quartzo,5.722,9.0,7.0,7.5,,1.3,6.778,5.0,0.7,2.0,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,755.0,179.0,17.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,1.0
RA-571,2022,1,J,Feminino,11.0,2019,Escola Pública,Ágata,6.589,8.5,8.8,7.5,,3.7,6.944,5.0,3.3,4.0,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,630.0,153.0,13.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-572,2022,1,J,Masculino,9.0,2022,Escola Pública,Ametista,7.48,8.5,8.0,7.5,,6.8,6.833,10.0,4.5,9.0,,False,False,Fase 1 (4º ano),0,Não atendido,322.0,83.0,6.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-573,2022,1,J,Masculino,11.0,2020,Escola Pública,Topázio,8.261,9.5,9.9,7.5,,8.2,8.944,5.0,8.3,8.0,,True,True,Fase 2 (5º e 6º ano),-1,Não atendido,70.0,15.0,2.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,4.0
RA-574,2022,1,J,Masculino,10.0,2022,Escola Pública,Ágata,6.86,9.5,7.2,5.0,,7.5,6.944,5.0,5.5,9.5,,False,False,Fase 2 (5º e 6º ano),-1,Requer avaliação,534.0,135.0,11.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-575,2022,1,J,Masculino,12.0,2019,Escola Pública,Quartzo,5.889,8.0,6.1,7.5,,2.8,7.0,5.0,2.7,3.0,,False,False,Fase 3 (7º e 8º ano),-2,Não atendido,739.0,175.0,16.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,1.0
RA-576,2022,1,J,Feminino,10.0,2022,Escola Pública,Ametista,7.59,9.5,9.1,7.5,,7.8,7.111,5.0,7.5,8.0,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,279.0,75.0,4.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-577,2022,1,J,Feminino,10.0,2022,Escola Pública,Ametista,7.862,9.5,9.3,7.5,,9.0,7.111,5.0,8.3,9.7,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,182.0,41.0,3.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-578,2022,1,J,Masculino,10.0,2019,Escola Pública,Topázio,8.814,9.5,10.0,8.8,,9.5,9.611,5.0,9.3,9.7,,True,True,Fase 2 (5º e 6º ano),-1,Sem limitações,11.0,3.0,1.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,4.0
RA-579,2022,1,J,Feminino,10.0,2022,Escola Pública,Ágata,6.067,8.5,5.8,7.5,,3.8,7.222,5.0,0.0,7.5,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,715.0,171.0,15.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-580,2022,1,J,Feminino,10.0,2020,Escola Pública,Ametista,7.525,8.0,9.6,7.5,,7.6,7.167,5.0,6.3,8.8,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,299.0,78.0,5.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-581,2022,1,J,Masculino,10.0,2019,Escola Pública,Ágata,6.464,7.5,8.9,7.5,,5.0,5.889,5.0,5.3,4.7,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,648.0,157.0,14.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-582,2022,1,J,Feminino,10.0,2022,Escola Pública,Ametista,7.064,10.0,9.0,7.5,,4.9,7.222,5.0,4.3,5.5,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,466.0,119.0,10.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-583,2022,1,J,Feminino,12.0,2019,Escola Pública,Ametista,7.456,8.5,9.4,7.5,,7.1,7.333,5.0,6.2,8.0,,False,False,Fase 3 (7º e 8º ano),-2,Não atendido,333.0,87.0,7.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-584,2022,1,J,Feminino,10.0,2019,Escola Pública,Ágata,6.714,8.0,8.5,7.5,,4.6,7.333,5.0,4.5,4.7,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,585.0,143.0,12.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-585,2022,1,K,Feminino,9.0,2020,Escola Pública,Ametista,7.398,8.5,9.1,7.5,,5.0,6.889,10.0,3.7,6.3,,False,False,Fase 1 (4º ano),0,Não atendido,362.0,94.0,7.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-586,2022,1,K,Feminino,10.0,2021,Rede Decisão,Ametista,7.988,10.0,9.6,5.6,,8.2,8.778,5.0,8.2,8.2,,False,True,Fase 2 (5º e 6º ano),-1,Requer avaliação,146.0,37.0,3.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-587,2022,1,K,Masculino,10.0,2022,Escola Pública,Ágata,6.632,9.5,9.3,7.5,,3.8,6.167,5.0,1.0,6.5,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,615.0,148.0,10.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-588,2022,1,K,Feminino,9.0,2021,Rede Decisão,Topázio,8.622,9.5,10.0,5.6,,9.3,8.278,10.0,9.3,9.2,,False,False,Fase 1 (4º ano),0,Sem limitações,26.0,4.0,2.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,4.0
RA-589,2022,1,K,Feminino,9.0,2022,Escola Pública,Ametista,7.744,9.5,9.4,7.5,,5.8,7.056,10.0,3.0,8.5,,False,False,Fase 1 (4º ano),0,Não atendido,219.0,57.0,4.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-590,2022,1,K,Feminino,10.0,2020,Escola Pública,Ametista,7.435,8.5,8.6,7.5,,7.4,7.611,5.0,5.7,9.2,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,341.0,90.0,6.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-591,2022,1,K,Masculino,11.0,2021,Escola Pública,Ametista,7.507,9.5,9.3,7.5,,7.1,7.389,5.0,7.8,6.3,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,305.0,80.0,5.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-592,2022,1,K,Feminino,10.0,2020,Escola Pública,Ametista,7.381,8.0,8.5,5.6,,8.4,7.778,5.0,7.2,9.7,,False,False,Fase 2 (5º e 6º ano),-1,Requer avaliação,368.0,96.0,9.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-593,2022,1,K,Feminino,10.0,2021,Escola Pública,Ágata,6.254,7.5,7.4,7.5,,4.6,6.278,5.0,3.0,6.2,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,694.0,168.0,11.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-594,2022,1,K,Masculino,10.0,2022,Escola Pública,Ametista,7.392,8.0,9.4,7.5,,7.8,6.889,5.0,6.0,9.5,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,364.0,95.0,8.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-595,2022,1,K,Masculino,12.0,2018,Escola Pública,Quartzo,5.18,8.5,5.5,7.5,,1.0,6.0,5.0,2.0,0.0,,False,False,Fase 3 (7º e 8º ano),-2,Não atendido,813.0,187.0,12.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,1.0
RA-596,2022,1,K,Feminino,9.0,2021,Escola Pública,Topázio,8.971,9.5,10.0,7.5,,9.3,9.0,10.0,8.8,9.8,,True,True,Fase 1 (4º ano),0,Sem limitações,4.0,1.0,1.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,4.0
RA-597,2022,1,L,Masculino,9.0,2022,Escola Pública,Topázio,8.265,9.0,10.0,7.5,,8.0,7.056,10.0,6.5,9.5,,False,False,Fase 1 (4º ano),0,Sem limitações,67.0,14.0,1.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,4.0
RA-598,2022,1,L,Feminino,11.0,2022,Escola Pública,Ágata,6.35,9.5,7.2,7.5,,3.7,6.944,5.0,4.7,2.7,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,669.0,162.0,13.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-599,2022,1,L,Masculino,10.0,2022,Escola Pública,Topázio,8.2,9.5,9.2,7.5,,9.1,8.556,5.0,8.3,9.8,,True,True,Fase 2 (5º e 6º ano),-1,Sem limitações,85.0,19.0,2.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,4.0
RA-600,2022,1,L,Feminino,9.0,2021,Escola Pública,Ágata,7.011,8.5,8.4,7.5,,3.9,6.833,10.0,2.8,5.0,,False,False,Fase 1 (4º ano),0,Sem limitações,483.0,126.0,10.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-601,2022,1,L,Masculino,8.0,2021,Escola Pública,Ametista,7.713,9.0,9.7,7.5,,5.7,7.167,10.0,5.3,6.0,,False,False,ALFA  (2º e 3º ano),1,Sem limitações,231.0,60.0,7.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-602,2022,1,L,Masculino,11.0,2019,Escola Pública,Ametista,8.041,10.0,9.7,7.5,,8.6,7.667,5.0,8.3,8.8,,True,False,Fase 2 (5º e 6º ano),-1,Sem limitações,134.0,32.0,4.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-603,2022,1,L,Feminino,11.0,2022,Escola Pública,Ametista,7.78,9.0,9.5,7.5,,7.5,8.0,5.0,6.7,8.3,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,209.0,52.0,6.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-604,2022,1,L,Feminino,10.0,2021,Escola Pública,Ametista,8.018,9.0,9.0,7.5,,8.8,8.333,5.0,8.0,9.7,,True,False,Fase 2 (5º e 6º ano),-1,Sem limitações,136.0,34.0,5.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-605,2022,1,L,Feminino,12.0,2021,Escola Pública,Ametista,7.276,6.9,9.3,6.9,,7.1,7.556,5.0,6.2,8.0,,False,False,Fase 3 (7º e 8º ano),-2,Sem limitações,406.0,106.0,8.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-606,2022,1,L,Masculino,10.0,2022,Escola Pública,Ágata,6.127,9.5,9.0,7.5,,1.8,6.111,5.0,2.0,1.5,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,704.0,169.0,14.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-607,2022,1,L,Masculino,10.0,2022,Escola Pública,Ágata,6.44,6.8,8.1,7.5,,4.0,7.444,5.0,3.0,5.0,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,652.0,158.0,12.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-608,2022,1,L,Masculino,10.0,2022,Escola Pública,Ametista,7.216,7.8,9.6,7.5,,6.3,7.222,5.0,3.0,9.5,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,422.0,108.0,9.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
RA-609,2022,1,L,Masculino,11.0,2019,Escola Pública,Ágata,6.794,8.5,7.6,7.5,,6.0,7.056,5.0,6.5,5.5,,False,False,Fase 2 (5º e 6º ano),-1,Sem limitações,557.0,137.0,11.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,2.0
RA-610,2022,1,L,Feminino,9.0,2022,Escola Pública,Topázio,8.18,9.0,9.6,7.5,,6.5,8.5,10.0,6.0,7.0,,False,True,Fase 1 (4º ano),0,Sem limitações,91.0,21.0,3.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,4.0
RA-611,2022,1,M,Masculino,12.0,2021,Escola Pública,Ametista,7.756,9.5,7.6,7.5,,9.5,7.556,5.0,10.0,9.0,,True,False,Fase 3 (7º e 8º ano),-2,Não atendido,214.0,54.0,4.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,1.0,3.0
RA-612,2022,1,M,Feminino,10.0,2021,Escola Pública,Ametista,7.594,9.0,9.2,7.5,,7.9,7.167,5.0,9.7,6.2,,False,False,Fase 2 (5º e 6º ano),-1,Não atendido,273.0,71.0,6.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,1.0,3.0
